observer,date,time,treatment,risk,risk_binary,site,wind_speed,con_hetero,size,autonomized,AD,SD,FID,look,locomotion,tot_time_in
KS,23-Jan-22,13:09,BC,high,1,gump,2,0,9,0,1.98,2.76,1.98,8,2,30000
KS,23-Jan-22,13:24,S,high,1,gump,2,0,9,0,1.59,2.6,0.69,3,0,30000
LM,23-Jan-22,13:24,C,_low,-1,cross_island_road,0,4,10,0,1.8,2.77,1.8,10,6,30000
KS ,27-Jan-22,13:27,C,_low,-1,road_to_pineapple_plantation,1,0,7,0,2.81,3.89,2.81,1,0,30000
AK,21-Jan-22,13:30,_N,high,1,gump,1,1,7,0,1.8,3.8,1.4,1,0,30000
KS,17-Jan-22,13:31,BC,high,1,gump,2,1,11,0,2.85,3.9,1.7,2,0,30000
LM,21-Jan-22,13:32,C,high,1,cultural_center,1,0,5,0,1.45,2.35,1.45,1,0,30000
KS,21-Jan-22,13:33,BC,high,1,soccer_field,0,1,11,0,2.4,4.5,2.4,5,0,30000
LM,25-Jan-22,13:33,S,_low,-1,cross_island_road,0,1,13,0,2.1,2.8,1.9,1,0,30000
AK,21-Jan-22,13:39,BC,high,1,gump,1,0,8,0,1.35,3.7,0.9,11,9,18645
LM,25-Jan-22,13:40,_N,_low,-1,cross_island_road,0,0,11,0,0.9,2.3,0.9,1,0,30000
AK,27-Jan-22,13:42,S,high,1,gump,1,0,7,0,2,4.1,2,1,0,30000
KS,21-Jan-22,13:43,_N,high,1,soccer_field,1,0,10,0,3.8,4.9,3.4,7,0,30000
AK,17-Jan-22,13:44,BC,high,1,gump,1,0,9,0,2.95,4.25,1.6,2,0,30000
KS,23-Jan-22,13:45,C,high,1,gump,1,0,10,0,1.79,3.41,1.56,1,0,30000
KS ,27-Jan-22,13:46,_N,_low,-1,road_to_pineapple_plantation,2,2,8,0,2,3.25,2,4,0,30000
LM,23-Jan-22,13:47,S,_low,-1,cross_island_road,1,2,11,0,1.34,2.34,1.34,6,1,30000
LM,25-Jan-22,13:47,BC,_low,-1,cross_island_road,0,4,13,0,2.55,3.4,1.8,12,3,30000
AK,21-Jan-22,13:50,S,high,1,gump,1,2,10,0,1.3,3.2,1.3,2,0,30000
KS ,27-Jan-22,13:53,BC,_low,-1,road_to_pineapple_plantation,1,5,8,0,1.85,3.3,1.85,1,0,30000
KS,23-Jan-22,13:54,_N,high,1,gump,1,0,9,0,2.65,3.76,2.65,3,0,30000
